"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sobic.003G079200",59.5858412155246,3.99912179919126,0.434276250019071,9.20870482559347,3.30083531527715e-20,4.75254268693604e-16
"Sobic.007G191200",274.843506852695,3.84750693749755,0.439209196218811,8.76007827390926,1.95114840417422e-18,1.40463173616502e-14
"Sobic.004G086500",67.7774824399814,4.15434464702581,0.507443288589258,8.18681563130985,2.68228597150816e-16,1.28731844725915e-12
"Sobic.010G095100",440.505571462437,1.99232202759593,0.253157588542205,7.86988862972117,3.54957095848117e-15,1.2776680665053e-11
"Sobic.004G222000",90.455651112202,2.60356960784373,0.334868789035763,7.77489480384414,7.55101294685762e-15,2.17438968817712e-11
"Sobic.006G202500",68.1646261271509,3.24235280981565,0.420860111774811,7.70411050869685,1.31757794062963e-14,3.16174786486423e-11
"Sobic.001G300400",692.275774194834,1.71472107851044,0.224306678981933,7.64453865704352,2.09695805630207e-14,4.31314315637673e-11
"Sobic.009G100200",92.3936684449719,2.98484869929844,0.404712566302878,7.37523108453383,1.64060234589655e-13,2.95267407202732e-10
"Sobic.004G219600",50.8773341080049,-3.15651554720678,0.4353688316382,-7.25021020758303,4.16125299682919e-13,6.65708007203852e-10
"Sobic.001G121700",117.887182934386,1.81479609257461,0.253845112198052,7.14922606490327,8.72685111151561e-13,1.25649202303602e-09
"Sobic.006G070564",27.4180113909795,5.26314527719835,0.744959230712716,7.0650111579435,1.60603088327817e-12,1.9951306735072e-09
"Sobic.009G173700",499.964906914406,2.61339736529983,0.37016002622797,7.06018257003884,1.66283984456775e-12,1.9951306735072e-09
"Sobic.004G121200",44.7673058413889,2.55851645407405,0.368320140715062,6.9464473191906,3.74599722054809e-12,4.14883599857318e-09
"Sobic.010G030800",115.579103247907,4.44800915462512,0.643860359548399,6.90834447044532,4.903421693146e-12,5.04281896699401e-09
"Sobic.010G082600",30.3641342904934,4.73206066007442,0.686114484750899,6.89689660435087,5.31508371068327e-12,5.10177168442784e-09
"Sobic.004G101400",43.1956759190905,-4.14179185777444,0.611089727037209,-6.77771475206332,1.22091596335136e-11,1.09867175252081e-08
"Sobic.002G350400",1848.73318831697,1.17155448635331,0.176060464387343,6.65427352148648,2.84702781112859e-11,2.41126508380173e-08
"Sobic.006G046500",52.6805805267224,2.71719527560697,0.411971531010453,6.59558991598869,4.23568229009036e-11,3.38807520070672e-08
"Sobic.001G376501",45.6771814534004,-3.03625957365364,0.464642349790973,-6.53461651745595,6.37727303725692e-11,4.83263037844343e-08
"Sobic.001G314000",131.315819983555,1.85754216902083,0.287104201049261,6.46992333178055,9.80526549043231e-11,7.05881062656222e-08
"Sobic.005G186400",78.6292702896082,1.86333850272212,0.288545760558901,6.45768802533403,1.06314621636996e-10,7.28913296347364e-08
"Sobic.001G406800",106.278022847469,2.4983463848445,0.405479947722473,6.16145483612047,7.2079629683324e-10,4.71728412809318e-07
"Sobic.001G488900",114.556244895516,1.49217619001739,0.244236434215625,6.10955607343994,9.99086495394695e-10,6.25428146117079e-07
"Sobic.001G127800",113.254525744032,-1.62015658170268,0.267172549627189,-6.06408324494202,1.32708411245807e-09,7.96139877132137e-07
"Sobic.001G094800",817.369939185163,1.6442328755791,0.273426888900428,6.01342787533185,1.81640765887088e-09,1.04610549889692e-06
"Sobic.002G208200",258.041200825221,-1.88670991737986,0.319839461319993,-5.89892788586283,3.65871089607088e-09,2.02608151852418e-06
"Sobic.004G205100",1328.05442219918,1.23576790405633,0.210040920598925,5.8834626154398,4.01770878631685e-09,2.14248041131074e-06
"Sobic.003G052000",161.338627446232,1.38854791219197,0.236961171255919,5.8598119887428,4.63391511469955e-09,2.38282535076586e-06
"Sobic.002G368300",366.069907285379,1.50289407825759,0.256897195846637,5.85017704574242,4.91050039431975e-09,2.43797878197985e-06
"Sobic.009G072100",37.1959512381848,-2.31962548606109,0.402713121183241,-5.75999480534835,8.41165247723375e-09,4.03703241224038e-06
"Sobic.008G070350",77.2812975814588,2.00070248506787,0.348405514262167,5.7424535581902,9.33144762512812e-09,4.33400590021273e-06
"Sobic.001G197400",450.887289380433,1.48788094588244,0.26304176013102,5.65644384808455,1.54541506820715e-08,6.95340192251455e-06
"Sobic.007G073100",310.529355894962,-2.56937026338497,0.455745329623458,-5.63773251501625,1.7230387001451e-08,7.51767006202702e-06
